Student_ID,Student_Name,Gender,Department,Year_of_Study,Contact_No
1001,Sneha Sharma,Female,Data Science,1,9842868828
1002,Pooja Patel,Male,Data Science,2,9883197857
1003,Amit Kulkarni,Male,Mechanical,3,9813999315
1004,Amit Joshi,Male,IT,4,9885329037
1005,Rohit Jain,Male,Mechanical,1,9870291817
1006,Abhishek Singh,Male,Computer Science,2,9866722344
1007,Vikas Singh,Male,IT,3,9855176955
1008,Sneha Verma,Male,Mechanical,4,9858181396
1009,Kavya Kulkarni,Male,Electronics,1,9871662963
1010,Divya Verma,Male,Mechanical,2,9884093639
1011,Anjali Kulkarni,Male,Electronics,3,9819335534
1012,Priya Joshi,Male,Electronics,4,9841244663
1013,Sneha Yadav,Female,Electronics,1,9895320121
1014,Kavya Patel,Female,Electronics,2,9838119557
1015,Karan Verma,Male,Civil,3,9881691040
1016,Pooja Patel,Female,Mechanical,4,9846231783
1017,Divya Joshi,Female,Data Science,1,9817507864
1018,Pooja Sharma,Female,Electronics,2,9845935572
1019,Amit Joshi,Female,Civil,3,9838538251
1020,Riya Yadav,Female,Data Science,4,9829175900
1021,Karan Patel,Female,IT,1,9888461803
1022,Nisha Kulkarni,Female,Mechanical,2,9839436733
1023,Arjun Jain,Male,Mechanical,3,9816323852
1024,Sneha Patel,Male,Data Science,4,9866661351
1025,Meera Verma,Female,Mechanical,1,9889978790
1026,Akash Jain,Male,Electronics,2,9825374874
1027,Divya Singh,Female,Data Science,3,9824972279
1028,Anjali Yadav,Female,IT,4,9810435578
1029,Karan Jain,Male,IT,1,9893926371
1030,Anjali Jain,Male,Civil,2,9830513739
1031,Kavya Patel,Male,Civil,3,9890388981
1032,Vikas Mishra,Male,Computer Science,4,9858718453
1033,Anjali Joshi,Male,Computer Science,1,9886149359
1034,Amit Verma,Female,Data Science,2,9819289546
1035,Divya Patel,Female,IT,3,9883793389
1036,Neha Singh,Female,Civil,4,9838427073
1037,Divya Joshi,Female,Data Science,1,9863551839
1038,Kavya Mishra,Female,Civil,2,9826240908
1039,Pooja Joshi,Female,Computer Science,3,9812823170
1040,Abhishek Jain,Male,IT,4,9810965138
1041,Amit Sharma,Male,IT,1,9814216175
1042,Vikas Verma,Male,Civil,2,9847376585
1043,Riya Joshi,Male,Civil,3,9886644106
1044,Abhishek Mishra,Female,IT,4,9864634663
1045,Rohit Verma,Female,Computer Science,1,9857553014
1046,Nisha Yadav,Male,Mechanical,2,9897705310
1047,Sneha Sharma,Female,Mechanical,3,9824665841
1048,Pooja Joshi,Female,IT,4,9828814949
1049,Nisha Patel,Female,Electronics,1,9843528453
1050,Amit Mishra,Male,Civil,2,9816789850
1051,Divya Sharma,Male,Computer Science,3,9832321899
1052,Nisha Mishra,Male,Mechanical,4,9863826716
1053,Priya Patel,Male,Mechanical,1,9862401521
1054,Karan Mishra,Female,Electronics,2,9884593961
1055,Riya Patel,Female,IT,3,9839219319
1056,Priya Kulkarni,Male,Data Science,4,9852091325
1057,Priya Sharma,Female,Civil,1,9877491435
1058,Manish Patel,Male,Computer Science,2,9834941004
1059,Amit Kulkarni,Male,Computer Science,3,9864193837
1060,Sneha Kulkarni,Male,IT,4,9893131979
1061,Amit Yadav,Female,Data Science,1,9844999379
1062,Rohit Gupta,Female,IT,2,9863121477
1063,Arjun Singh,Female,Mechanical,3,9819736572
1064,Rahul Mishra,Male,Civil,4,9819832887
1065,Divya Joshi,Female,Civil,1,9827778019
1066,Kavya Verma,Female,IT,2,9848250360
1067,Neha Mishra,Female,Civil,3,9892097999
1068,Manish Sharma,Female,Data Science,4,9899038526
1069,Sneha Patel,Male,Electronics,1,9824366125
1070,Divya Patel,Female,Electronics,2,9891178885
1071,Rohit Gupta,Female,IT,3,9877834855
1072,Riya Singh,Male,Computer Science,4,9895132217
1073,Nisha Singh,Male,Computer Science,1,9854769200
1074,Arjun Singh,Female,IT,2,9884045292
1075,Nisha Jain,Male,Computer Science,3,9820099059
1076,Arjun Jain,Female,Computer Science,4,9888183110
1077,Divya Patel,Male,Mechanical,1,9815614174
1078,Anjali Gupta,Female,Computer Science,2,9838195995
1079,Pooja Verma,Female,Electronics,3,9893303777
1080,Arjun Joshi,Male,IT,4,9865337219
1081,Rahul Patel,Female,Data Science,1,9865259205
1082,Pooja Singh,Male,IT,2,9861343880
1083,Priya Mishra,Male,IT,3,9871780854
1084,Kavya Singh,Male,IT,4,9813176186
1085,Rohit Yadav,Female,Electronics,1,9819317495
1086,Karan Gupta,Female,Data Science,2,9881969657
1087,Vikas Sharma,Female,Computer Science,3,9833966966
1088,Abhishek Singh,Male,Computer Science,4,9890070438
1089,Nisha Gupta,Female,Data Science,1,9868571795
1090,Meera Jain,Female,Computer Science,2,9887388337
1091,Rohit Singh,Female,Computer Science,3,9810226999
1092,Manish Jain,Male,Data Science,4,9858884978
1093,Nisha Verma,Female,Data Science,1,9893638503
1094,Vikas Verma,Female,Data Science,2,9878064830
1095,Anjali Yadav,Female,Electronics,3,9849682169
1096,Divya Patel,Female,IT,4,9899245317
1097,Sahil Patel,Female,Civil,1,9864502486
1098,Divya Sharma,Female,Electronics,2,9838210242
1099,Nisha Kulkarni,Female,Civil,3,9872409658
1100,Akash Mishra,Male,Data Science,4,9878608612
1101,Riya Patel,Male,Data Science,1,9848089166
1102,Manish Kulkarni,Male,Electronics,2,9841523529
1103,Anjali Joshi,Male,IT,3,9813278320
1104,Priya Joshi,Male,Mechanical,4,9871124923
1105,Nisha Kulkarni,Female,IT,1,9876354180
1106,Sahil Joshi,Male,IT,2,9824305904
1107,Nisha Joshi,Female,IT,3,9816740197
1108,Divya Joshi,Female,Computer Science,4,9827896471
1109,Akash Jain,Female,Civil,1,9869401199
1110,Meera Jain,Female,Mechanical,2,9831361812
1111,Riya Mishra,Male,Electronics,3,9895585469
1112,Karan Jain,Male,Mechanical,4,9846855845
1113,Akash Verma,Female,Data Science,1,9841473195
1114,Karan Gupta,Male,Electronics,2,9828572252
1115,Arjun Joshi,Male,Mechanical,3,9838716269
1116,Amit Yadav,Female,Mechanical,4,9882828034
1117,Akash Yadav,Male,Computer Science,1,9866390708
1118,Sahil Kulkarni,Male,Data Science,2,9887267850
1119,Sahil Mishra,Female,Computer Science,3,9850079111
1120,Sahil Yadav,Male,Civil,4,9875529051
1121,Pooja Singh,Female,Mechanical,1,9813895645
1122,Sahil Gupta,Female,Data Science,2,9832151928
1123,Akash Patel,Male,Civil,3,9862884503
1124,Abhishek Kulkarni,Male,Data Science,4,9821267237
1125,Nisha Patel,Male,Mechanical,1,9816749089
1126,Karan Yadav,Male,Electronics,2,9871028710
1127,Vikas Gupta,Female,Mechanical,3,9866581473
1128,Karan Verma,Male,Mechanical,4,9882399599
1129,Priya Gupta,Male,IT,1,9897477029
1130,Priya Sharma,Male,IT,2,9812735359
1131,Meera Patel,Male,IT,3,9873560289
1132,Sneha Kulkarni,Female,IT,4,9844392446
1133,Kavya Patel,Male,Civil,1,9831980274
1134,Anjali Verma,Male,Civil,2,9851870192
1135,Abhishek Yadav,Male,Mechanical,3,9820200074
1136,Abhishek Joshi,Female,Computer Science,4,9890585882
1137,Sneha Kulkarni,Female,Computer Science,1,9881503856
1138,Nisha Gupta,Female,Computer Science,2,9811698142
1139,Nisha Mishra,Female,Computer Science,3,9858612055
1140,Akash Patel,Male,Mechanical,4,9880027662
1141,Karan Kulkarni,Female,Civil,1,9872394301
1142,Nisha Kulkarni,Female,Electronics,2,9842949803
1143,Amit Singh,Male,Mechanical,3,9872372114
1144,Abhishek Kulkarni,Female,Data Science,4,9855150390
1145,Rahul Mishra,Male,Electronics,1,9875437844
1146,Rohit Gupta,Female,Electronics,2,9847535126
1147,Meera Singh,Male,Civil,3,9879340535
1148,Rohit Verma,Female,IT,4,9875575808
1149,Divya Joshi,Female,Data Science,1,9896691619
1150,Riya Mishra,Male,Computer Science,2,9849491631
1151,Pooja Yadav,Male,Data Science,3,9851098277
1152,Abhishek Gupta,Female,Mechanical,4,9867110154
1153,Divya Gupta,Female,Electronics,1,9846361787
1154,Anjali Singh,Male,IT,2,9835848226
1155,Vikas Verma,Male,Data Science,3,9835708194
1156,Rohit Mishra,Female,Electronics,4,9823492385
1157,Rohit Singh,Female,IT,1,9834084236
1158,Anjali Sharma,Male,Data Science,2,9846817443
1159,Priya Sharma,Female,Civil,3,9826948946
1160,Riya Verma,Female,Computer Science,4,9873001391
1161,Riya Mishra,Male,Electronics,1,9816895666
1162,Karan Mishra,Male,Computer Science,2,9863782042
1163,Riya Verma,Male,Civil,3,9830364454
1164,Arjun Kulkarni,Male,Electronics,4,9843311626
1165,Sneha Jain,Male,Mechanical,1,9880138498
1166,Sahil Mishra,Female,Mechanical,2,9888990506
1167,Nisha Singh,Male,Civil,3,9891823275
1168,Sneha Joshi,Male,Data Science,4,9845520201
1169,Amit Patel,Male,IT,1,9884087145
1170,Amit Patel,Female,Computer Science,2,9870465583
1171,Meera Mishra,Male,Electronics,3,9841068214
1172,Anjali Singh,Female,Data Science,4,9819553585
1173,Pooja Singh,Male,Data Science,1,9867061186
1174,Sneha Jain,Male,IT,2,9845652586
1175,Arjun Verma,Male,Computer Science,3,9851286958
1176,Meera Kulkarni,Female,Electronics,4,9826690465
1177,Akash Singh,Female,Data Science,1,9846540265
1178,Manish Jain,Female,Mechanical,2,9820796722
1179,Meera Sharma,Female,Mechanical,3,9891029073
1180,Karan Sharma,Male,Computer Science,4,9887201917
1181,Abhishek Sharma,Female,Data Science,1,9887342561
1182,Priya Patel,Female,Mechanical,2,9847333543
1183,Neha Kulkarni,Female,Mechanical,3,9822246348
1184,Riya Gupta,Female,Mechanical,4,9853091709
1185,Sneha Patel,Female,Electronics,1,9876500726
1186,Anjali Yadav,Male,Civil,2,9871045700
1187,Amit Gupta,Female,Electronics,3,9825558733
1188,Sahil Jain,Female,Computer Science,4,9865465150
1189,Priya Joshi,Female,Civil,1,9893568503
1190,Riya Mishra,Male,Computer Science,2,9845843681
1191,Divya Patel,Female,Electronics,3,9875056916
1192,Sneha Sharma,Male,Data Science,4,9831257157
1193,Anjali Jain,Female,Computer Science,1,9822510327
1194,Pooja Verma,Male,Mechanical,2,9896934122
1195,Arjun Mishra,Female,Data Science,3,9878299645
1196,Karan Yadav,Female,Mechanical,4,9842713008
1197,Akash Jain,Female,IT,1,9835583290
1198,Meera Jain,Male,Data Science,2,9819369750
1199,Karan Yadav,Female,Electronics,3,9810344303
1200,Anjali Singh,Female,Civil,4,9829944139
1201,Akash Jain,Female,Mechanical,1,9854619335
1202,Divya Jain,Female,Mechanical,2,9853188224
1203,Rohit Joshi,Female,Civil,3,9841348220
1204,Nisha Sharma,Female,Electronics,4,9861167978
1205,Sahil Patel,Male,Mechanical,1,9826944487
1206,Manish Kulkarni,Male,Electronics,2,9869096899
1207,Sneha Jain,Male,Mechanical,3,9829348212
1208,Nisha Patel,Female,Computer Science,4,9845570755
1209,Vikas Kulkarni,Female,Data Science,1,9897219599
1210,Amit Gupta,Female,Data Science,2,9852501540
1211,Riya Jain,Male,Computer Science,3,9841510328
1212,Anjali Joshi,Male,Data Science,4,9868246664
1213,Sneha Verma,Male,Mechanical,1,9850193656
1214,Rahul Sharma,Male,Electronics,2,9849375156
1215,Kavya Gupta,Male,Mechanical,3,9842775624
1216,Manish Yadav,Male,Civil,4,9832814819
1217,Neha Verma,Female,Civil,1,9893176117
1218,Pooja Mishra,Male,Civil,2,9841163805
1219,Akash Singh,Female,Mechanical,3,9899501846
1220,Rahul Mishra,Male,Electronics,4,9819913576
1221,Akash Gupta,Female,Civil,1,9895756900
1222,Nisha Singh,Female,Mechanical,2,9836738452
1223,Sahil Mishra,Male,Computer Science,3,9861185849
1224,Abhishek Gupta,Female,Civil,4,9849625201
1225,Rahul Yadav,Male,Electronics,1,9885957706
1226,Priya Kulkarni,Female,Data Science,2,9848412328
1227,Pooja Kulkarni,Male,Electronics,3,9895445405
1228,Rohit Kulkarni,Male,Electronics,4,9894322033
1229,Sneha Sharma,Female,Electronics,1,9814478111
1230,Abhishek Gupta,Male,Data Science,2,9822097496
1231,Anjali Gupta,Female,Data Science,3,9833574011
1232,Rohit Patel,Female,Civil,4,9881249799
1233,Manish Singh,Female,IT,1,9874672520
1234,Anjali Gupta,Female,Computer Science,2,9820106509
1235,Arjun Joshi,Female,Data Science,3,9884801233
1236,Kavya Verma,Male,Mechanical,4,9845495029
1237,Divya Verma,Female,Mechanical,1,9845186708
1238,Abhishek Yadav,Female,Data Science,2,9824541967
1239,Pooja Mishra,Female,Computer Science,3,9891883846
1240,Pooja Verma,Female,Data Science,4,9850559278
